PointClass	X	Y	Z	FaceDirection
yuguai6	3898	3543	1048576	75
yuguai	3479	3479	1048576	75
yuguai	3278	3063	1048576	75
yuguai	3423	2562	1048576	75
yuguai	3946	2472	1048576	75
yuguai	4442	2674	1048576	75
yuguai	4576	3207	1048576	75
yuguai1	3986	2970	1048576	140
yuguai2	3197	3384	1048576	0
yuguai2	3116	2633	1048576	0
yuguai2	3063	2730	1048576	0
yuguai2	3033	2937	1048576	0
yuguai2	3082	3123	1048576	0
yuguai2	3205	2965	1048576	0
yuguai2	3291	2973	1048576	0
yuguai2	3324	2664	1048576	0
yuguai2	3353	3300	1048576	0
yuguai4	4579	2870	1048576	140
yuguai4	4729	2864	1048576	140
yuguai7	4645	3246	1048576	140
yuguai4	4547	3466	1048576	140
yuguai4	4496	3076	1048576	140
yuguai4	4584	2627	1048576	140
yuguai4	4752	3049	1048576	140
yuguai5	3734	2612	1048576	0
yuguai5	3424	2723	1048576	0
yuguai5	3275	3111	1048576	0
yuguai8	3484	3131	1048576	0
yuguai5	3472	2931	1048576	0
yuguai5	3584	2760	1048576	0
yuguai10	3377	2997	1048576	0
yuguai5	3716	2601	1048576	0
