PointClass	X	Y	Z	FaceDirection
leftshang	530	840	1048576	0
leftshang	526	953	1048576	0
leftshang	534	1078	1048576	0
leftshang	624	1084	1048576	0
leftshang	616	1008	1048576	0
leftshang	609	874	1048576	0
leftxia	898	564	1048576	0
leftxia	945	554	1048576	0
leftxia	1054	558	1048576	0
leftxia	1166	558	1048576	0
leftxia	1281	553	1048576	0
leftxia	1399	552	1048576	0
rightshang	884	1558	1048576	0
rightshang	977	1552	1048576	0
rightshang	1123	1555	1048576	0
rightshang	1217	1504	1048576	0
rightshang	1146	1473	1048576	0
rightshang	1005	1485	1048576	0
rightxia	1609	870	1048576	0
rightxia	1616	960	1048576	0
rightxia	1617	1070	1048576	0
rightxia	1535	1095	1048576	0
rightxia	1536	1015	1048576	0
rightxia	1528	914	1048576	0
all	530	840	1048576	0
all	526	953	1048576	0
all	534	1078	1048576	0
all	624	1084	1048576	0
all	616	1008	1048576	0
all	609	874	1048576	0
all	898	564	1048576	0
all	945	554	1048576	0
all	1054	558	1048576	0
all	1166	558	1048576	0
all	1281	553	1048576	0
all	1399	552	1048576	0
all	884	1558	1048576	0
all	977	1552	1048576	0
all	1123	1555	1048576	0
all	1217	1504	1048576	0
all	1146	1473	1048576	0
all	1005	1485	1048576	0
all	1609	870	1048576	0
all	1616	960	1048576	0
all	1617	1070	1048576	0
all	1535	1095	1048576	0
all	1536	1015	1048576	0
all	1528	914	1048576	0
