Level	Percent
角色等级	给经验百分比（*100，500就是5%）
1	5555.555556
2	5555.555556
3	5555.555556
4	5555.555556
5	5555.555556
6	5555.555556
7	5555.555556
8	5555.555556
9	5555.555556
10	133.3333333
11	133.3333333
12	133.3333333
13	133.3333333
14	133.3333333
15	133.3333333
16	133.3333333
17	133.3333333
18	133.3333333
19	133.3333333
20	133.3333333
21	111.1111111
22	95.23809524
23	83.33333333
24	74.07407407
25	66.66666667
26	53.33333333
27	44.44444444
28	38.0952381
29	33.33333333
30	29.62962963
31	19.04761905
32	13.33333333
33	10.25641026
34	8.333333333
35	7.01754386
36	5.333333333
37	4.444444444
38	3.80952381
39	3.333333333
40	2.962962963
41	2.222222222
42	1.904761905
43	1.666666667
44	1.481481481
45	1.333333333
46	1.111111111
47	0.952380952
48	0.833333333
49	0.740740741
50	0.666666667
51	0.555555556
52	0.476190476
53	0.416666667
54	0.37037037
55	0.333333333
56	0.266666667
57	0.222222222
58	0.19047619
59	0.166666667
60	0.148148148
61	0.133333333
62	0.121212121
63	0.111111111
64	0.102564103
65	0.095238095
66	0.088888889
67	0.083333333
68	0.078431373
69	0.074074074
70	0.070175439
71	0.066666667
72	0.063492063
73	0.060606061
74	0.057971014
75	0.055555556
76	0.053333333
77	0.051282051
78	0.049382716
79	0.047619048
80	0.045977011
