Level	Percent
角色等级	给经验百分比（*100，500就是5%）
1	6944.444
2	6944.444
3	6944.444
4	6944.444
5	6944.444
6	6944.444
7	6944.444
8	6944.444
9	6944.444
10	181.8181818
11	181.8181818
12	181.8181818
13	181.8181818
14	181.8181818
15	181.8181818
16	181.8181818
17	181.8181818
18	181.8181818
19	181.8181818
20	181.8181818
21	151.5151515
22	129.8701299
23	113.6363636
24	101.010101
25	90.90909091
26	72.72727273
27	60.60606061
28	51.94805195
29	45.45454545
30	40.4040404
31	25.97402597
32	18.18181818
33	13.98601399
34	11.36363636
35	9.56937799
36	7.272727273
37	6.060606061
38	5.194805195
39	4.545454545
40	4.04040404
41	3.03030303
42	2.597402597
43	2.272727273
44	2.02020202
45	1.818181818
46	1.515151515
47	1.298701299
48	1.136363636
49	1.01010101
50	0.909090909
51	0.757575758
52	0.649350649
53	0.568181818
54	0.505050505
55	0.454545455
56	0.363636364
57	0.303030303
58	0.25974026
59	0.227272727
60	0.202020202
61	0.181818182
62	0.165289256
63	0.151515152
64	0.13986014
65	0.12987013
66	0.121212121
67	0.113636364
68	0.106951872
69	0.101010101
70	0.09569378
71	0.090909091
72	0.086580087
73	0.082644628
74	0.079051383
75	0.075757576
76	0.072727273
77	0.06993007
78	0.067340067
79	0.064935065
80	0.062695925
