KindId	Id	Desc	RandomCount	Probability	Name	Exp	Money	YLEnergy	Genre	DetailType	ParticularType	Level	EnhTimes	Amount	Bind	TimeLimit	Announce	KinOrTongMsg	MoneyType	MoneyCount
Kind类ID	组内ID	类描述	随机次数	概率（上限为10000，总概率小于10000时有几率不随出道具，如果大于10000则大于10000的部分随不到）	开出物品描述	经验	银两	游龙真气					强化	数量（只有道具有用）	绑定	有效期	世界公告	家族或帮会公告	消耗的金钱类型	消耗的金钱数量
1	1		1	1	初级经验丹	10000														
2	1		1	1	中级经验丹	100000														
3	1		1	1	高级经验丹	1000000														
4	1		1	1	初级药草包				18	4	90	0		2						
4	2		1	1					18	4	91	0		2						
4	3		1	1					18	4	92	0		2						
4	4		1	5					18	1	22	0		5						
5	1		1	10000	幻化灵丹				18	1	31	0		1						
5	2		1	2500					18	1	615	0		1						
5	3		1	500					18	1	616	0		1			%s在解封幻化灵丹时RP爆发，幸运的得到了黑罴熊幻化丹！			
5	4		1	50					18	1	617	0		1			%s在解封幻化灵丹时RP爆发，幸运的得到了火麒麟幻化丹！			
5	5		1	1					18	1	618	0		1			%s在解封幻化灵丹时RP爆发，幸运的得到了雪豹幻化丹！			
6	1		1	1	中级药草包				18	4	93	0		2						
6	2		1	1					18	4	94	0		2						
6	3		1	1					18	4	95	0		2						
6	4		1	5					18	1	22	0		10						
7	1		1	1	高级草药包				18	4	96	0		2						
7	2		1	1					18	4	97	0		2						
7	3		1	1					18	4	98	0		2						
7	4		1	5					18	1	22	0		20						
8	1		1	1					1	13	4	1		1		10080				
9	1		1	100	1000银两				18	1	280	0		1						
9	1		1	100	小宝兔幻化丹				18	1	31	0		1						
9	1		1	100	中级经验丹				18	1	652	0		1						
9	1		1	100	100绑元				18	1	628	0		1						
9	1		1	100	神仙技能书				24	8	1	0		1						
9	1		1	30	1000银两				18	1	280	0		3			%s在开启2级家族礼包时幸运的获得了三倍银两奖励！			
